Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
84	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00029	0.019075917	-99.92879	-100.03754	850000	-5.340576e-09	0.00036586222	-0.0032342973	-1.5917962e-05	0.45652646	0.0154817235	0.0942	19.0	6606.442485332489
85	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99968	0.0181258	-99.89875	-100.03622	860000	3.2424927e-09	0.0003251009	-0.0046468223	-1.2153352e-05	0.49343008	0.013110251	0.0716	79.0	6684.841951131821
86	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99648	0.020061567	-99.881454	-100.03527	870000	-1.5258789e-09	0.0004108061	-0.003854027	-2.8159528e-05	0.49082777	0.0065672975	0.0259	79.0	6763.33566069603
87	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99968	0.01793688	-99.90346	-100.03709	880000	-4.577637e-09	0.00032136368	-0.004213662	-1.3835437e-05	0.48747396	0.014219366	0.1579	79.0	6841.472605705261
88	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99991	0.018597614	-99.91929	-100.03744	890000	-7.915497e-09	0.000342642	-0.0030300214	-1.8575025e-05	0.485963	0.00803334	0.0603	79.0	6920.271235227585
89	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00005	0.01759942	-99.9207	-100.03644	900000	3.2901764e-09	0.00030820642	-0.0024707802	-1.49088155e-05	0.46148545	0.0052713263	0.0485	79.0	6999.446736812592
90	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99922	0.01796433	-99.904015	-100.03459	910000	-7.653236e-09	0.00031835213	-0.0029187934	-1.437965e-05	0.4333861	0.008994662	0.0361	79.0	7079.113427877426
91	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99996	0.01852609	-99.92521	-100.03402	920000	-1.1730194e-08	0.00034328186	-0.003720976	-1.9774132e-05	0.4426542	0.008436832	0.0246	79.0	7157.858296632767
92	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99832	0.019519314	-99.911674	-100.033295	930000	7.820129e-09	0.00037487946	-0.0035588096	-2.784576e-05	0.4658496	0.01516649	0.1161	29.0	7235.045941114426
93	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99872	0.019150216	-99.91618	-100.03354	940000	1.3542175e-08	0.00036918596	-0.0026413316	-2.7270173e-05	0.4965832	0.0047979904	0.0052	79.0	7313.639302253723
94	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.0041	0.01898012	-99.90787	-100.0332	950000	3.8146972e-10	0.0003738462	-0.0058354726	-4.69184e-05	0.3609562	0.014633766	0.0772	79.0	7392.4059817790985
95	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.0094	0.013520083	-99.93774	-100.02757	960000	-1.7166137e-08	0.0002713865	-0.0049309484	-0.000104467166	0.19376895	0.010230893	0.0517	79.0	7470.551687717438
96	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99397	0.014882366	-99.934654	-100.01678	970000	2.4795532e-09	0.00023800277	-0.0058411765	-3.3376593e-05	0.3440051	0.011725251	0.0705	79.0	7548.711028337479
97	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.993904	0.015381547	-99.93854	-100.0214	980000	-5.531311e-09	0.00026898502	-0.004917059	-4.4130502e-05	0.43319443	0.015236467	0.0964	50.0	7626.134006738663
98	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99922	0.01546062	-99.92431	-100.02693	990000	9.250641e-09	0.00023578513	-0.0052464125	-1.0269388e-05	0.47129342	0.00989661	0.0938	79.0	7704.63512468338
